# 200 test equations for class=exponential
a + 2*d*exp(3*x) + g*exp(-3*x)
-c*exp(5*x) - d*exp(-5*x) + 3*g
-3*a*exp(-x) - f - 5*g*exp(x)
-5*a*exp(3*x) + 5*c*exp(-3*x) - 2*g
4*d*exp(2*x) + f*exp(-2*x) - 3*g
4*c*exp(-x) - 4*e + 3*g*exp(x)
-5*b*exp(2*x) - 2*e + 3*g*exp(-2*x)
5*b*exp(-5*x) + c*exp(5*x) - 2*g
2*a*exp(x) + 3*c - 2*f*exp(-x)
4*a*exp(-5*x) - 5*c*exp(5*x) + 3*g
5*b*exp(-2*x) - 5*d + 3*e*exp(2*x)
2*a*exp(x) + 4*f*exp(-x) + 2*g
a + 2*c*exp(2*x) - 4*f*exp(-2*x)
5*d*exp(5*x) - e*exp(-5*x) - 4*f
-3*b*exp(5*x) + c + 2*f*exp(-5*x)
-a + d*exp(-x) + 5*e*exp(x)
-2*a*exp(-5*x) - d - 3*e*exp(5*x)
2*a*exp(-x) + 5*e*exp(x) - 3*g
a*exp(-2*x) - 3*b*exp(2*x) - 2*e
3*b*exp(-2*x) - 4*c*exp(2*x) - 3*e
2*a*exp(-5*x) - 5*c + 2*e*exp(5*x)
-5*a*exp(-2*x) + 5*c*exp(2*x) + 2*e
2*a + 4*c*exp(x) - 5*e*exp(-x)
-2*c*exp(2*x) - 5*d + 4*e*exp(-2*x)
-4*b*exp(-5*x) + e - g*exp(5*x)
-4*a*exp(5*x) + 4*b - 5*c*exp(-5*x)
a*exp(-x) + 5*d - 3*f*exp(x)
-2*a*exp(-3*x) - 2*c*exp(3*x) - f
3*b + 5*d*exp(3*x) - 4*e*exp(-3*x)
5*a + 5*d*exp(-5*x) - 3*g*exp(5*x)
-c*exp(x) + d*exp(-x) + 2*e
-4*b*exp(2*x) + 5*d + f*exp(-2*x)
-a + 5*e*exp(3*x) - 3*f*exp(-3*x)
-5*a*exp(x) + 3*d + 3*e*exp(-x)
2*c*exp(-x) + 5*e + 3*g*exp(x)
3*c*exp(-5*x) - 4*e*exp(5*x) + 3*f
-2*a*exp(-x) - 3*c*exp(x) - 4*g
4*c*exp(5*x) - 2*e*exp(-5*x) - 3*f
2*a*exp(x) + 2*b*exp(-x) + 4*d
3*b*exp(-x) - 4*c - g*exp(x)
-b - 3*c*exp(-3*x) - 5*e*exp(3*x)
4*b - 2*e*exp(5*x) - g*exp(-5*x)
-5*b*exp(-2*x) - 5*c - 4*f*exp(2*x)
4*a*exp(3*x) - 5*e - 4*g*exp(-3*x)
-e + 4*f*exp(-x) + 2*g*exp(x)
4*a + 5*c*exp(-3*x) - 5*d*exp(3*x)
-a*exp(-3*x) + 3*b*exp(3*x) - 3*f
3*b*exp(-5*x) + 5*e*exp(5*x) - 5*g
2*b*exp(2*x) + 5*c - 3*g*exp(-2*x)
-4*c*exp(x) - 5*f - 4*g*exp(-x)
3*b*exp(5*x) - 5*e*exp(-5*x) - 3*g
3*a*exp(3*x) - 5*c*exp(-3*x) + 4*f
-3*a*exp(x) - 4*b*exp(-x) - 3*d
-2*c*exp(-x) - 5*e*exp(x) - 5*g
b*exp(-2*x) + 5*d*exp(2*x) + 4*g
a - 4*d*exp(-5*x) - f*exp(5*x)
5*a - 4*e*exp(-5*x) + 3*g*exp(5*x)
a*exp(5*x) + 2*e*exp(-5*x) + 5*g
-5*a - 4*b*exp(2*x) + f*exp(-2*x)
5*a*exp(x) - 3*c*exp(-x) - 4*f
-d + 2*e*exp(2*x) + 2*f*exp(-2*x)
-b - d*exp(-3*x) - e*exp(3*x)
-2*b*exp(x) - 3*d + 2*f*exp(-x)
2*a*exp(x) + 5*b*exp(-x) - 5*d
-a*exp(5*x) + 4*c*exp(-5*x) + 4*e
-2*b*exp(x) - 3*e*exp(-x) + 3*f
-c*exp(x) + 4*e*exp(-x) - 3*f
2*b*exp(5*x) - 5*e - 3*f*exp(-5*x)
5*b*exp(-3*x) + 3*c*exp(3*x) - 4*f
-2*a + 2*d*exp(-2*x) - 5*e*exp(2*x)
-5*a*exp(5*x) - c + 4*d*exp(-5*x)
-d + 5*e*exp(-x) - 4*g*exp(x)
4*a*exp(-x) - 2*c*exp(x) + 4*f
-5*a - b*exp(2*x) - 5*d*exp(-2*x)
-4*b*exp(3*x) + 2*d + 5*f*exp(-3*x)
2*b*exp(3*x) + 2*e - g*exp(-3*x)
2*b - 3*e*exp(2*x) + f*exp(-2*x)
-4*b*exp(3*x) + 3*c*exp(-3*x) - d
5*c*exp(-3*x) + 3*d - f*exp(3*x)
-2*c - 5*d*exp(5*x) + 4*g*exp(-5*x)
5*a + 2*c*exp(-3*x) - 2*e*exp(3*x)
-e*exp(5*x) - 2*f - 3*g*exp(-5*x)
-3*b - c*exp(-2*x) + 3*f*exp(2*x)
-2*a*exp(-3*x) + 3*b - 3*f*exp(3*x)
2*a*exp(2*x) + 3*c*exp(-2*x) - 5*d
-5*b - 5*c*exp(-3*x) + 2*d*exp(3*x)
-a - 2*e*exp(-2*x) - 5*f*exp(2*x)
-5*b - 5*e*exp(2*x) + 3*g*exp(-2*x)
-4*b*exp(-3*x) - 4*c + 5*e*exp(3*x)
3*a - 4*c*exp(5*x) - 5*f*exp(-5*x)
2*a*exp(-3*x) - 2*d*exp(3*x) - 2*g
-3*c*exp(-5*x) + d*exp(5*x) + 5*f
3*a*exp(-2*x) + b*exp(2*x) - 5*e
-5*a*exp(x) + b*exp(-x) - 5*e
-3*a*exp(-5*x) - 2*e*exp(5*x) + g
5*c*exp(-x) - 5*e*exp(x) + 5*f
3*b*exp(3*x) + 4*c - d*exp(-3*x)
-5*c - 3*e*exp(3*x) - f*exp(-3*x)
-4*c + 2*f*exp(-2*x) + 4*g*exp(2*x)
-5*b*exp(x) - 4*c - g*exp(-x)
-3*b + 2*c*exp(-3*x) - 5*d*exp(3*x)
2*b*exp(-5*x) + d*exp(5*x) - 5*g
-2*b*exp(-x) - 2*c*exp(x) - 5*d
-3*b + 5*d*exp(-x) - e*exp(x)
4*a*exp(-5*x) + 4*d - 2*g*exp(5*x)
-3*a*exp(-2*x) + 5*e*exp(2*x) + 3*g
-3*a*exp(x) - 5*c*exp(-x) + 5*e
-3*a*exp(-5*x) - 5*c*exp(5*x) + 4*g
-5*a*exp(2*x) - 3*f + g*exp(-2*x)
4*c*exp(3*x) + 2*e + 5*g*exp(-3*x)
-5*b*exp(x) - e*exp(-x) - g
-2*a + 4*b*exp(2*x) - 2*f*exp(-2*x)
a*exp(5*x) - 2*e - 4*g*exp(-5*x)
-4*a + b*exp(2*x) + f*exp(-2*x)
-5*b - 4*c*exp(-5*x) + 2*g*exp(5*x)
-3*a + c*exp(2*x) - 3*g*exp(-2*x)
3*a - 2*b*exp(-x) - 3*g*exp(x)
-b*exp(2*x) + 5*e*exp(-2*x) - 3*g
a*exp(-5*x) + b*exp(5*x) + 4*e
2*b*exp(3*x) + 5*c + 2*g*exp(-3*x)
-2*b - d*exp(x) - 3*g*exp(-x)
-4*d - 4*e*exp(-3*x) - f*exp(3*x)
-5*a*exp(-3*x) - c*exp(3*x) + 2*g
